id,listing_id,negative_sentiment,neutral_sentiment,positive_sentiment,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
1573,8391298,0.007846154,0.736153846,0.255923077,Apartment,Entire home/apt,4,1,1,2,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_50""}",200,0,0,0,0,13,10,10,10,10,10,9,1.1
1574,8400275,0.039042254,0.725408451,0.235492958,Apartment,Entire home/apt,3,1,0,1,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",99,1,3,14,284,71,9,7,8,9,9,8,6.07
1575,8402408,0.006350877,0.697526316,0.296175439,Apartment,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",95,2,5,22,280,57,10,10,10,10,10,10,8.3
1576,8406972,0.004333333,0.736777778,0.258888889,Apartment,Entire home/apt,5,1,1,1,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",250,0,0,0,0,9,10,10,10,10,10,10,0.84
1577,8410270,0,0.889,0.111,Apartment,Entire home/apt,2,1,1,1,Futon,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Smoke Detector"",Essentials}",160,0,0,0,0,1,8,10,10,10,10,10,0.09
1578,8417742,0.003222222,0.673888889,0.322888889,House,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",""24-Hour Check-in"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",129,1,9,39,129,9,10,10,10,10,9,10,0.9
1579,8420883,0.026333333,0.885666667,0.088,House,Private room,3,2,1,3,Real Bed,"{Kitchen,""Free Parking on Premises"",Gym,""Hot Tub"",Heating,""Family/Kid Friendly"",""Carbon Monoxide Detector"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",75,7,37,67,342,6,7,7,8,7,3,6,0.6
1580,8420956,0.00525,0.681125,0.3135,Boat,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",345,27,34,34,34,8,9,10,10,10,10,10,0.69
1581,8422876,0.01146875,0.68921875,0.29934375,Bed & Breakfast,Private room,2,2,1,1,Real Bed,"{""Wireless Internet"",""Air Conditioning"",Breakfast,Heating,""Smoke Detector"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",99,4,23,53,321,32,9,10,10,10,10,9,2.71
1582,8428052,0.009555556,0.630222222,0.360111111,Apartment,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",195,0,0,0,0,9,10,10,10,10,10,9,1.73
